Item Description,Order Fiscal Week,YearFormattted,Order Quarter,Family_type,Normal_Rate
DA192 PWA,202102,2021- week 02,2021-Q1,LOGIQ E10s,0.0003
DA192 PWA,202103,2021- week 03,2021-Q1,LOGIQ E10s,0.0003
DA192 PWA,202104,2021- week 04,2021-Q1,LOGIQ E10s,0.0003
DA192 PWA,202105,2021- week 05,2021-Q1,LOGIQ E10s,0.0006
DA192 PWA,202106,2021- week 06,2021-Q1,LOGIQ E10s,0.0003
DA192 PWA,202107,2021- week 07,2021-Q1,LOGIQ E10s,0.0003
DA192 PWA,202108,2021- week 08,2021-Q1,LOGIQ E10s,0.0009
DA192 PWA,202109,2021- week 09,2021-Q1,LOGIQ E10s,0.0009
DA192 PWA,202110,2021- week 10,2021-Q1,LOGIQ E10s,0.0003
DA192 PWA,202113,2021- week 13,2021-Q1,LOGIQ E10s,0.0009
DA192 PWA,202114,2021- week 14,2021-Q2,LOGIQ E10s,0.0003
DA192 PWA,202117,2021- week 17,2021-Q2,LOGIQ E10s,0.0006
DA192 PWA,202121,2021- week 21,2021-Q2,LOGIQ E10s,0.0006
DA192 PWA,202122,2021- week 22,2021-Q2,LOGIQ E10s,0.0003
DA192 PWA,202124,2021- week 24,2021-Q2,LOGIQ E10s,0.0006
DA192 PWA,202125,2021- week 25,2021-Q2,LOGIQ E10s,0.0003
DA192 PWA,202127,2021- week 27,2021-Q3,LOGIQ E10s,0.0003
DA192 PWA,202128,2021- week 28,2021-Q3,LOGIQ E10s,0.0003
DA192 PWA,202131,2021- week 31,2021-Q3,LOGIQ E10s,0.0003
DA192 PWA,202132,2021- week 32,2021-Q3,LOGIQ E10s,0.0003
DA192 PWA,202133,2021- week 33,2021-Q3,LOGIQ E10s,0.0006
DA192 PWA,202135,2021- week 35,2021-Q3,LOGIQ E10s,0.0003
DA192 PWA,202136,2021- week 36,2021-Q3,LOGIQ E10s,0.0006
DA192 PWA,202138,2021- week 38,2021-Q3,LOGIQ E10s,0.0003
DA192 PWA,202139,2021- week 39,2021-Q3,LOGIQ E10s,0.0003
DA192 PWA,202140,2021- week 40,2021-Q4,LOGIQ E10s,0.0012
DA192 PWA,202141,2021- week 41,2021-Q4,LOGIQ E10s,0.0006
DA192 PWA,202143,2021- week 43,2021-Q4,LOGIQ E10s,0.0006
DA192 PWA,202144,2021- week 44,2021-Q4,LOGIQ E10s,0.0003
DA192 PWA,202146,2021- week 46,2021-Q4,LOGIQ E10s,0.0003
DA192 PWA,202147,2021- week 47,2021-Q4,LOGIQ E10s,0.0006
DA192 PWA,202148,2021- week 48,2021-Q4,LOGIQ E10s,0.0009
DA192 PWA,202150,2021- week 50,2021-Q4,LOGIQ E10s,0.0003
DA192 PWA,202151,2021- week 51,2021-Q4,LOGIQ E10s,0.0009
DA192 PWA,202153,2021- week 53,2021-Q4,LOGIQ E10s,0.0003
DA192 PWA,202201,2022- week 01,2022-Q1,LOGIQ E10s,0.0009
DA192 PWA,202202,2022- week 02,2022-Q1,LOGIQ E10s,0.0012
DA192 PWA,202203,2022- week 03,2022-Q1,LOGIQ E10s,0.0006
DA192 PWA,202204,2022- week 04,2022-Q1,LOGIQ E10s,0.0009
DA192 PWA,202205,2022- week 05,2022-Q1,LOGIQ E10s,0.00209
DA192 PWA,202206,2022- week 06,2022-Q1,LOGIQ E10s,0.00179
DA192 PWA,202207,2022- week 07,2022-Q1,LOGIQ E10s,0.00299
DA192 PWA,202208,2022- week 08,2022-Q1,LOGIQ E10s,0.0012
DA192 PWA,202209,2022- week 09,2022-Q1,LOGIQ E10s,0.0006
DA192 PWA,202210,2022- week 10,2022-Q1,LOGIQ E10s,0.0009
DA192 PWA,202211,2022- week 11,2022-Q1,LOGIQ E10s,0.0009
DA192 PWA,202212,2022- week 12,2022-Q1,LOGIQ E10s,0.00179
DA192 PWA,202213,2022- week 13,2022-Q1,LOGIQ E10s,0.00149
DA192 PWA,202214,2022- week 14,2022-Q2,LOGIQ E10s,0.00179
DA192 PWA,202215,2022- week 15,2022-Q2,LOGIQ E10s,0.00179
DA192 PWA,202216,2022- week 16,2022-Q2,LOGIQ E10s,0.0006
DA192 PWA,202217,2022- week 17,2022-Q2,LOGIQ E10s,0.0012
DA192 PWA,202218,2022- week 18,2022-Q2,LOGIQ E10s,0.00179
DA192 PWA,202219,2022- week 19,2022-Q2,LOGIQ E10s,0.0006
DA192 PWA,202220,2022- week 20,2022-Q2,LOGIQ E10s,0.00209
DA192 PWA,202221,2022- week 21,2022-Q2,LOGIQ E10s,0.0012
DA192 PWA,202222,2022- week 22,2022-Q2,LOGIQ E10s,0.0012
DA192 PWA,202223,2022- week 23,2022-Q2,LOGIQ E10s,0.00149
DA192 PWA,202224,2022- week 24,2022-Q2,LOGIQ E10s,0.0006
DA192 PWA,202225,2022- week 25,2022-Q2,LOGIQ E10s,0.00239
DA192 PWA,202226,2022- week 26,2022-Q2,LOGIQ E10s,0.0006
DA192 PWA,202227,2022- week 27,2022-Q3,LOGIQ E10s,0.0003
DA192 PWA,202228,2022- week 28,2022-Q3,LOGIQ E10s,0.00179
DA192 PWA,202229,2022- week 29,2022-Q3,LOGIQ E10s,0.00299
DA192 PWA,202230,2022- week 30,2022-Q3,LOGIQ E10s,0.00239
DA192 PWA,202231,2022- week 31,2022-Q3,LOGIQ E10s,0.00239
DA192 PWA,202232,2022- week 32,2022-Q3,LOGIQ E10s,0.00209
DA192 PWA,202233,2022- week 33,2022-Q3,LOGIQ E10s,0.00239
DA192 PWA,202234,2022- week 34,2022-Q3,LOGIQ E10s,0.00209
DA192 PWA,202235,2022- week 35,2022-Q3,LOGIQ E10s,0.00149
DA192 PWA,202236,2022- week 36,2022-Q3,LOGIQ E10s,0.0006
DA192 PWA,202237,2022- week 37,2022-Q3,LOGIQ E10s,0.00239
DA192 PWA,202238,2022- week 38,2022-Q3,LOGIQ E10s,0.00209
DA192 PWA,202239,2022- week 39,2022-Q3,LOGIQ E10s,0.00418
DA192 PWA,202240,2022- week 40,2022-Q4,LOGIQ E10s,0.00149
DA192 PWA,202241,2022- week 41,2022-Q4,LOGIQ E10s,0.0012
DA192 PWA,202242,2022- week 42,2022-Q4,LOGIQ E10s,0.00179
DA192 PWA,202243,2022- week 43,2022-Q4,LOGIQ E10s,0.00299
DA192 PWA,202244,2022- week 44,2022-Q4,LOGIQ E10s,0.00209
DA192 PWA,202245,2022- week 45,2022-Q4,LOGIQ E10s,0.00179
DA192 PWA,202246,2022- week 46,2022-Q4,LOGIQ E10s,0.00299
DA192 PWA,202247,2022- week 47,2022-Q4,LOGIQ E10s,0.00149
DA192 PWA,202248,2022- week 48,2022-Q4,LOGIQ E10s,0.00179
DA192 PWA,202249,2022- week 49,2022-Q4,LOGIQ E10s,0.00269
DA192 PWA,202250,2022- week 50,2022-Q4,LOGIQ E10s,0.00299
DA192 PWA,202251,2022- week 51,2022-Q4,LOGIQ E10s,0.00359
DA192 PWA,202252,2022- week 52,2022-Q4,LOGIQ E10s,0.00239
